Title of the initiative;Brief description;Leading UN agency;Blockchain usage and application;Who built the solution;Token used;Access and participation model;Reason for private/hybrid blockchain;Is project open-source?;Primary SDGs addressed;SDG indicators and targets;"Beneficiaries; Number affected/involved";Blockchain success metrics;Key challenges in implementation and key barriers to adoption;Lessons learned;Scalability Potential;Impact assessment with KPIs;Geographical scope;Project lifecycle information;Project type;Funding amount;Funding sources and budget;Partnership models;Governance framework: policies or frameworks guiding project implementation;Legal considerations;Documentation and reports;Project's website and social media;Start date;End date;Status;Ethereum mainnet or Layer-2 (specify);If not Mainnet or L2s
Bloinx;Crypto for more reliable savings communities among low-income populations;UNICEF;"Financial Inclusion and Digital Payments

Smart contract-based savings circle management, decentralized transaction tracking, transparent rotation of pooled funds, on-chain reputation system, and integration with crypto wallets (e.g., Valora) using stablecoins like cUSD for predictable value.";BX Smart Labs;None;Public blockchain;;Yes;5,8;5.a.1, 8.10.1;Members of community-based savings groups in either or a combination of low-income and low digital litereacy settings;# of active savings groups using Bloinx, % of users completing onboarding (wallet setup + first payment), # of unbanked users onboarded, # of transactions per group per cycle, # of successful payouts/;Technical integration delays, smart contract and front-end development complexities, coupon system pilot failure, low digital and financial literacy among target users, perceived risk of crypto-based platforms, limited access to mobile phones and connectivity;"Personalized guidance at the onboarding stage is essential for adoption in low-literacy or non-crypto communities; strategic partnerships with merchants or financial actors should follow, not precede, the establishment of a strong and active user community; dependencies on third-party blockchain infrastructure (in this case, the Valora wallet integration) require proactive communication with partners and contingency planning to prevent project delays.";High, through its open-source infrastructure, rapid onboarding model, and expansion from Latin America to East Africa;Once users completed the initial onboarding process, over 80% were able to confidently manage savings cycles independently, supporting the platform's potential for sustained use. Feedback from community leaders reinforced the importance of peer support and hands-on onboarding in overcoming the crypto learning curve. The pilot phase also validated ability to replicate savings group behavior in digital form, with 100% of test users successfully creating and managing their savings circles using the platform’s smart contracts.;Venezuela, Burundi;"Seed stage design and prototyping 2021-2022; pilot deployment in Venezuela 2022; pilot Burundi 2024-2025";Built for blockchain;"ETH 18.8 (= USD 60K at time of contract) from Venture Fund seed investnment; USD 150K follow-on funding raised by the company";UNICEF Venture Fund, Clabs, other sources;PPPs and multi-stakeholder partnership for technical integration, distribution, implementation, and user onboarding.;UNICEF Venture Fund compliance requirements, Digital Public Goods Alliance (DPGA) framework, open source licensing (GNU AGPL v3.0 for frontend, BSD 3-Clause for smart contracts), Celo blockchain protocol governance.;Data protection and user consent considerations, smart contract audit transparency, and alignment with local cryptocurrency and financial regulations.;Available upon request from UNICEF Venture Fund;https://www.unicefventurefund.org/portfolio/bx-smart-labs-developing-decentralized-app-saving-circles, https://bloinx.io/;May 2021;Ongoing;Graduate from Venture Fund investment with continued engagement with the Fund;EVM L2, Celo;
Convexity;Transparent digital cash and voucher transfer to beneficiaries through blockchain;UNICEF;"Financial Inclusion and Digital Payments

Cash and Voucher Assistance (CVA), transparent fund transfers, vendor onboarding";Convexity;CHATS voucher/token system;Implied permissioned blockchain for NGOs, vendors, and beneficiaries;;Yes;SDG 1 – No Poverty;Indicator 1.3.1 – Proportion of population covered by social protection systems;Internally Displaced Persons (IDPs), women, children, people with disabilities (PLWDs);# of NGOs onboarded, households reached, transaction volume, vendor usage;Need for customized setup per organization, onboarding and trust issues;"Modular architecture improves adaptability; local partnerships enhance effectiveness";Strong. Demonstrated success through pilots reaching 400 households and secured partnerships with major humanitarian actors like Red Cross Nigeria, Mercy Corps, and Jhpiego. Recognition as a Digital Public Good.;Transaction data, demographic reach, partnerships secured;Nigeria;Seed stage investment with the Venture Fund and piloting 2022–2023;Built for blockchain (CVA platform);$54,000 (UNICEF), $14,500 (Roddenberry Foundation);UNICEF Venture Fund, Roddenberry Foundation;Public-private partnerships, technical collaboration with NGOs;Data governance managed by implementing partners inc ompliance with applicable data protection regulations;User consent, data privacy, information security protocols;Available upon request from UNICEF Venture Fund;https://www.unicefventurefund.org/portfolio/convexity, https://withconvexity.com/;December 2022;December 2023;Graduate;EVM L2;
ZedLabs;Blockchain-based wallet for financial inclusion of underserved communities;UNICEF;"Financial Inclusion and Digital Payments, Climate Action

Community reward systems, impact verification (HyperCerts), CSR fund disbursement";Zed Labs;Kolektivo Networking Token (KNT), HyperCerts;Public blockchain;;Yes;SDG 13 - Climate Action, SDG 17 - Partnerships for the Goals;Indicator 13.3.2 - Number of countries that have communicated the strengthening of institutional arrangements and stakeholder engagement for implementation of adaptation, Indicator 17.17.1 - Amount in United States dollars committed to public-private partnerships;Youth, schools, ecological asset producers, underserved communities;User adoption (600+ in Caribbean), number of redemptions, corporate funding mobilized, engagement events held;Skepticism around crypto, need for digital literacy, technical onboarding for new partners;"Local relevance and community rewards accelerate adoption; need robust, transparent verification for trust";Strong as demonstrated by multi-island pilots, low technical barriers for community participation, and decentralized climate financing.;"Target of 75–150 monthly active users in T&T pilot; 200 participants in climate initiatives";Regional – Caribbean (Curacao, Trinidad & Tobago);Seed investment with Venture Fund and live pilot in T&T 2023-2024 (previously tested in Curacao and other islands);Built for blockchain;$104.400,00;UNICEF Venture Fund;Multi-stakeholder – NGOs, businesses, government, schools;"Not explicitly stated; decentralized verification and open governance principles applied";Not specified, likely aligned with crypto and data policies in operating countries;Available upon request from UNICEF Venture Fund;https://www.unicefventurefund.org/portfolio/kolektivo-wallet, https://www.zed.io/;September 2023;October 2024;Graduate;Polygon;
XOneFi;Equitable, affordable Internet access for remote and underserved areas;UNICEF;"Governance

Decentralized Wi-Fi sharing, blockchain-based bandwidth tracking and allocation";Xmesh;None issued;Public blockchain (Polygon);N/A;Yes;"SDG 9 - Industry, Innovation, and Infrastructure; SDG 10 - Reduced Inequalities";Indicator 9.c.1 - Proportion of population covered by a mobile network, by technology;Small business owners, underserved communities, secondary school students;Deployment completed, >220 beneficiaries, 2 pilots, bandwidth up to 30mbps;Technical setup complexity, communication gaps with local staff, low engagement from some small businesses;Need for region-specific engagement and simplified network configuration tools;Yes – scalable in low-connectivity regions with satellite-based infrastructure;"Bandwidth availability improved; adoption in school pilot; system refinements in progress";Country level (Nigeria), potential for regional expansion;Seed stage design, prototyping, and piloting 2022-2023;Built for blockchain;$54,000 (Fiat) + 46.64 ETH (≈ $59,354.03);UNICEF Venture Fund;Public-private and local implementation partnership;"UNICEF Venture Fund open-source and DPG framework; local regulatory alignment";"Compliance with Nigerian communications regulations; open-source license (GPLv3)";Available upon request from UNICEF Venture Fund;https://www.unicefventurefund.org/story/xonefi-equitable-affordable-internet-access-remote-and-underserved-areas, https://www.unicefventurefund.org/portfolio/xmesh, https://www.unicefventurefund.org/story/insights-graduates-giga-blockchain-cohort;December 2022;December 2023;Graduate;Polygon (Ethereum Layer-2 sidechain);N/A
WiiQare;An all-in-one digital platform for healthcare savings, payments, and remittances;UNICEF;"Financial Inclusion and Digital Payments

Cross-border remittances for healthcare via NFT vouchers and smart contracts";WiiQare;NFT-based HealthPass, USDC (stablecoin);Public blockchain (Polygon);N/A;Yes;"SDG 3 - Good Health and Well-Being; SDG 10 - Reduced Inequalities";"3.8.2 - Large health expenditures as share of household income; 10.c.1 - Remittance costs";Patients in DRC, diaspora remitters, health clinics and pharmacies;39 users onboarded, 26 vouchers distributed, 15 redeemed, validated 15% commission model;"Power outages, crypto off-ramping limitations, local awareness, team capacity, regulatory challenges; setting where pilot was done was still heavily cash-based";Need for incentives for all stakeholders, offline workflows, simpler user onboarding;Model is replicable in other countries, but success will depend on the maturity of local digital payment ecosystems and the ability to convert between crypto and fiat in cash-dominant settings.;Successful voucher redemption, high user satisfaction, provider engagement;Country-level (DRC), regional interest (Cameroon, Mali);Seed investment with Venture fund and pilot from December 2022 to March 2024;Built for blockchain;$54,335.52 fiat + 78.162 ETH (~$55,383.65);"UNICEF Venture Fund; Circle 'Unlocking Impact' Prize ($25,000)";Public-private collaboration with health providers, Yellow Card for off-ramping;UNICEF OSS/Digital Public Goods guidance, Principles for Digital Development;"GDPR, KYC/AML via Authologic; crypto legality in DRC under review";Available upon request from UNICEF Venture Fund;https://www.unicefventurefund.org/portfolio/wiiqare, 0;December 2022;March 2024;Graduate;Polygon (Ethereum Layer-2);N/A
The Atrium;"The Atrium is an interagency development sandbox designed to enable collaboration across UN agencies interested in experimenting with blockchain technology in a secure environment. The Atrium is comprised of two components; a storefront to share blockchain applications, and the underlying infrastructure to test those applications. It will enable members to share and easily launch blockchain applications, to vote on decisions as a community, and to receive badges that will unlock varying permissions within the platform.";UNICEF;Interagency Collaboration Platform;;;Private, permissioned blockchain network, dApp store for sharing applications;;;SDG 17;SDG 17.16;UN agencies and their stakeholders​;Number of agencies participating, number of applications developed and shared;Ensuring interoperability among diverse UN systems, managing data privacy concerns;The value of a shared platform for reducing duplication of efforts and fostering innovation;;Monitoring participation rates and application deployment success;Global;;;;UNICEF;Collaborative development among UN agencies​;;Alignment with UN data protection and privacy policies;;https://www.unicef.org/innovation/stories/blockchain-collaboration-across-un;2020;Ongoing;Active;;
UNICEF Innovation Fund's Blockchain Investments;Launched in 2016, the UNICEF Innovation Fund invests in startups developing open-source, blockchain-based solutions to promote financial inclusion.;UNICEF;Financial inclusion and digital payments;;; Open call for startups to apply for funding;;;SDG 8, 9  ;SDG 8.3, 9.5;Startups focused on financial inclusion;Amount of follow-on funding raised, number of transactions processed;Regulatory compliance, scalability issues​;Need for robust legal frameworks, importance of stakeholder engagement;;Monitoring of financial transactions and user engagement;Global  ;Ongoing  ;;Varies per investment;UNICEF Innovation Fund;;UNICEF's internal policies on innovation funding;;Annual reports available on UNICEF's website;https://www.unicef.org/innovation/innovation-fund;2016;Ongoing;Active;;
 Project Connect;Aiming to map every school globally, Project Connect assesses the quality of internet connectivity and explores blockchain for transparent financing and operational processes.;UNICEF;Financial transparency and efficiency, Governance;;;Open data access for stakeholders;;;SDG 4, 9;SDG 4.1, 9.1;Schools;Number of schools mapped, improvement in connectivity quality;Funding allocation transparency, stakeholder coordination;;;Monitoring of connectivity improvements and educational outcomes;Global;Ongoing;;;UNICEF, donor contributions;public-private partnership;;Data privacy laws;;https://www.unicef.org/innovation/project-connect;2019;Ongoing;Active;;
Digicus: Blending the Old with the New;Digicus is a platform that digitizes financial processes using blockchain technology to enhance transparency and efficiency in fund transfers to partner organizations.;UNICEF; Financial Transparency and Efficiency;; Digicus token (ERC-20)​;Restricted to UNICEF and its implementing partners​;;;SDG 16;SDG 16.6;; Increased transparency in fund transfers, reduced transaction times;Integrating blockchain wallets into enterprise solutions, managing large smart contract sizes;the importance of seamless integration with existing financial systems and the need for user-friendly interfaces;;;Kazakhstan;;;;UNICEF;public-private partnership;UNICEF's internal policies on financial transparency and innovation​;;Documentation on Invent, terminal seed stage report with Venture Fund;https://www.unicef.org/innovation/blockchain/digicus;2019;Ongoing;Active;;
Cryptofund;In 2019, UNICEF set up a cryptofund to be able to receive, hold and disburse fundings in cryptocurrencies, enabling both a better understanding of bockchain opportunities for the UNICEF, and an enhanced visibility and traceability for donors. ;UNICEF;Financial inclusion and digital payments;;None (but several cryptocurrencies supported: Bitcoin, Ethereum, Ripple, Monero, Dai, EOS, Litecoin, Dash, Stellar);Public blockchain;;;SDG 9, 10, 17;SDG 9.3, 9.5, 10.b, 17.3;UNICEF donators, UNICEF (in 2022, 21 projects funded through the cryptofund);"Funds disbursed by the fund (732.5 ETH + 3.13 BTC in 2022; 15M$ between 2019 and 2023), Amount of donations received";Increased uptake of the technology amonst receiving organizations;;;;Global;;;25.000$ in BTC and ETH (donated by the Ethereum foundation);Ethereum foundation (+ additional contributions from UNICEF, unknown amount);;;;https://www.unicef.org/innovation/stories/unicef-cryptofund;;Oct.19;;Ongoing;;
Patchwork Kingdoms NFT Collection;"To commemorate its 75th anniversary, UNICEF launched the ""Patchwork Kingdoms"" NFT collection, comprising 1,000 data-driven artworks. Each NFT visualizes real-time data on school connectivity from over 280,000 schools across 21 countries. The initiative aims to raise funds for Giga, a joint project by UNICEF and the International Telecommunication Union (ITU) to connect every school to the internet.";UNICEF;Financial Inclusion and Digital Payments;;NFTs;Public blockchain;;Yes;SDG 4, SDG 9, ;4.a.1, 9.c.1;Children and schools lacking internet connectivity, primarily in developing countries;The initial NFT sale raised approximately $550,000, selling out within three hours. Secondary sales contributed an additional 20% through royalties, totaling over $700,000;"Educating potential donors unfamiliar with NFTs; ensuring equitable access to the NFT sale; addressing environmental concerns associated with blockchain technology";NFTs can serve as effective fundraising tools, engaging a new demographic of donors. Transparent and inclusive sales strategies can enhance participation and trust;"High; the success of this initiative demonstrates the potential for similar NFT-based fundraising campaigns within the UN system and beyond";Funds raised contributed to Giga's efforts, which have connected over 3,000 schools, benefiting more than 700,000 children.;Global;;;Over $700,000;"Proceeds from NFT sales; initial sales and secondary market royalties";Public-private partnerships involving UN agencies, artists, blockchain platforms, and private sector entities;"Guided by UNICEF's internal policies and frameworks; collaboration with partners ensured adherence to ethical and technical standards";;Detailed information available on UNICEF's official website and Giga's platform;https://giga.global/patchwork-kingdoms/;Dec.21;;;;
Lido Impact Staking (LIS) Model;Lido Impact Staking (LIS) is an innovative financing model that enables Ethereum (ETH) holders to stake their assets and allocate a portion of their staking rewards to fund social impact projects, such as UNICEF's Giga initiative. Donors retain ownership of their principal while contributing to sustainable funding streams for global school connectivity.;UNICEF;Financial Inclusion and Digital Payments;Third Party Team;wstEth;Open to ETH holders;;No;SDG 4, SDG 9;4.a.1, 9.c.1;Schools and students in underserved regions;"73.8 ETH staked; funds raised; schools connected";"Crypto volatility; regulation; education on staking";Staking can support sustainable social impact;High;Funds raised contributed to Giga's efforts, which have connected over 3,000 schools, benefiting more than 700,000 children.;Global;;;<$1000;Donations through Ethereum staking rewards;Public-private;"Guided by UNICEF's internal policies and frameworks; collaboration with partners ensured adherence to ethical and technical standards";;;https://stake.giga.global/;2025;;Ongoing;;
Giga Token;Incentivizing school connectivity through blockchain;UNICEF;"Governance

Token-based incentive tracking for school connectivity (prototype phase)";Investtools;"No token issued; Giga token model was prototyped but not launched";;;Yes;4, 9;4.a.1 - Proportion of schools with access to electricity, internet, computers;Schools, education ministries, local ISPs;"Proof of concept completed; successful prototype on testnet";Barriers include technical integration with existing infrastructure and incentive alignment;Need for early validation with real users and simple UI for public dashboards;Yes – applicable to other countries scaling school connectivity initiatives;Not measured in KPIs but validated through stakeholder feedback and Giga planning;Global (but piloted in Sierra Leone);Seed stage design, prototyping, and piloting 2022-2023;Built for blockchain;USD 40K and ETH 51,8339 (contract value $65,963.78);UNICEF Venture Fund;Public-private partnership (UNICEF + national governments);Giga Token working group norms and UNICEF open-source requirements;Compliance with national blockchain and education data privacy standards;;https://www.unicefventurefund.org/story/giga-token-investtools-project-incentive-connectivity-schools-around-globe, https://www.unicefventurefund.org/portfolio/investtools, https://www.unicefventurefund.org/story/insights-graduates-giga-blockchain-cohort;December 2022;December 2023;Graduate;;Not applicable (testnet used)
ZLTO platform Linking Youth to the Future of Work - South Africa;Blockchain technology to give online rewards for volunteering, learning, and doing good;UNICEF;"Digital Identity, Financial Inclusion and Digital Payments

Tracking good deeds, skills development, micro-credentialing";ZLTO;Zlto (reward points/utility token);;Youth protection, centralized governance, performance needs;No;SDG 4 - Quality Education, SDG 8 - Decent Work and Economic Growth;Indicator 4.4.1, Indicator 8.6.1;Youth, jobseekers, volunteers;500,000+ users onboarded, national partnerships secured, number of Zlto transactions logged;Digital divide, mobile data cost, administrative burden for partners;"Gamified and user-centric designs improve youth engagement; strategic public-private partnerships accelerate scale";Strong local validation, formal partnerships with government and private sector;User growth, redemption rates, employment and education outcomes;South Africa;2020-2023 from seed investment with Venture Fund;Built for blockchain;"$200,000 seed from Venture Fund; $750,000 follow-on raised";UNICEF Venture Fund;Public-private partnerships, collaborative social ventures;Aligned with local government youth employment frameworks;Data privacy compliance, platform accountability for minors;Available upon request from UNICEF Venture Fund;https://www.unicef.org/southafrica/take-action-join-tippytapchallenge, https://www.unicef.org/innovation/stories/allans-story-dignity-through-online-rewards;September 2020;December 2023;Graduate;;Likely a private implementation for Zlto platform
Blockchain-Based Financial Registry for Youth members of solidarity groups – Burundi;Blockchain registry for transparent records of savings, loans, and transactions, boosting creditworthiness for obtaining consistent loans.;UNICEF;Financial Inclusion and Digital Payments;BX Smart Labs;-;Public blockchain with custodial wallet access;;Unknown;1,8;1.4.1, 8.10.2;;# of youth members onboarded, # of transactions logged, # of data shares to MFIs, # of loans obtained by youth;Solidarity groups found it acceptable to adopt, challenges exist in partnerships with local MFIs to accept blockchain data to sanction loans, wont work in zero internet conditions unless someone travels to an area with internet to allow sync with blockchain;Still under implementation;The solidarity group app is already scaled to 9 solidarity groups as of this writing, the MFI scalability needs iteration;;Burundi (for now);;;;;;;;;https://www.unicefventurefund.org/portfolio/blockchain-based-financial-registry-youth-members-solidarity-groups-burundi, 0;September 2023;September 2024;Active/Ongoing;;
UNICEF Nepal blockchain pilot from 2022;Tracking the movement of fiat currencies through social protection value chain;UNICEF;"Financial Inclusion and Digital Payments

Tokenisation of cash, tracking of cash, wallet compatibility with smart phones and feature phones and no phones (QR code)";Rumsan;Tokens for representing Nepali Rupee;Permissioned blockchain with custodial wallets;Cryptocurrencies are illegal in Nepal;Yes;SDG 1, 10, 16;SDG 1.1, 10.2, 16.6;;# of beneficiaries onboarded, Amount of cash tracked, Amount of cash reconciled, Speed of response to beneficiary grievances etc.;https://www.unicefventurefund.org/story/theory-practice-lessons-nepals-blockchain-cash-transfer-pilot;https://www.unicefventurefund.org/story/theory-practice-lessons-nepals-blockchain-cash-transfer-pilot;https://www.unicefventurefund.org/story/theory-practice-lessons-nepals-blockchain-cash-transfer-pilot;;Nepal;;;$148.6K from Venture Fund;Venture Fund, UNICEF Nepal allocated about $140K;Public-private partnership;Aligned with UNICEF Nepal guidelines;;https://www.unicefventurefund.org/story/theory-practice-lessons-nepals-blockchain-cash-transfer-pilot;https://www.unicefventurefund.org/story/theory-practice-lessons-nepals-blockchain-cash-transfer-pilot;;;Completed;;Enterprise Ethereum
Giga Blocks;Giga Blocks is an initiative to tokenize school data by putting its data on-chain in the form of ERC-271 tokens;UNICEF;Financial Inclusion and Digital Payments;Protofire;NFTs;Public blockchain;;Yes;SDG 4, SDG 9;4.a.1, 9.c.1;Schools and students in underserved regions;"Schools Minted; funds raised; schools connected";"Crypto volatility; regulation; school asset governance";On-chain anchoring of decentralized storage is technically feasible;High;Not launched yet;Global;execution;;;UNICEF, donor contributions;Public-private;"Guided by UNICEF's internal policies and frameworks; collaboration with partners ensured adherence to ethical and technical standards";;;https://blocks.giga.global/;2025;;To be launched in 2025;;
Development of the SMS based wallet by Xcapit;SMS based wallet with modern account abstraction backend to enable high programmability and reach to beneficiaries with feature phones. Xcapit is a self-custodial, open-source Web3 wallet designed to enhance financial inclusion in Latin America. It offers wealth management tools, financial planning, low- and middle-risk investment options, and gamified financial education. Users can also make transparent cryptocurrency donations to various causes. Within its first two months, Xcapit onboarded over 14,000 users, primarily from Mexico and Argentina.;"UNICEF

Startup Investment";"Financial inclusion and digital payments

Account Abstraction, Custodial Wallet, MPC extendable, Programmable with extra features for UN application (e.g. whitelisting etc.)";XCapit;;Beneficiaries invited to use wallet through SMS;;Will soon be;SDG 8, 9, 10;;760323 Unbanked individuals in Latin America, particularly in Mexico and Argentina;"Uptime, # of new features funded, # of discussions held; Over 50,000 users across 85 countries, 500,000+ beneficiaries, partnerships with educational and financial institutions";"Community engagement; Building trust in digital financial services, ensuring user-friendly design, addressing regulatory considerations";"Community manager is critical, integrations with tools can help smoothen the process, Github is sufficient for code reviews etc.; The importance of user-centric design, benefits of open-source collaboration, need for financial education in target regions";Good, if approvals for usage of digital assets for broader usecases is obtained;This was a technology pilot. User growth metrics, financial literacy improvement rates, donation transparency levels;Latin America, with initial focus on Mexico and Argentina;received growth funding in 2024;;"43.8 ETH (approximately $112,000 USD) from UNICEF; additional $1.8 million in follow-on funding";UNICEF, private investors;public-private partnership;Follows Primero policies. Open-source development model, adherence to ISO 27001 standards;;https://www.unicefventurefund.org/story/xcapit-smart-crypto-wallet-social-impact-and-financial-literacy-and-inclusion ;https://xcapit.com/;2021;Ongoing;Ongoing;L2 (Polygon);
Kotani Pay;Kotani Pay is a payment platform that provides a fiat-to-stablecoin on-ramp and off-ramp to local payment channels in Africa. It enables blockchain protocols, dApps, and fintechs to integrate payment solutions into their applications, websites, or web plugins.;"UNICEF

Startup Investment";Financial inclusion and digital payments;;Celo Dollar (cUSD);API and USSD-based integration;;;SDG 1, 8, 10;SDG 1.4, 8.10;Unbanked populations in Africa;Number of users onboarded, transaction volume, partnerships established;Regulatory compliance, internet connectivity issues;Importance of mobile-first solutions in regions with limited internet access;High, with plans for expansion across Africa;User adoption rates, transaction success rates;Kenya, Rwanda, Uganda;Launched in 2024, ongoing development;;Raised $2 million in pre-seed funding;;Collaborations with fintech companies and mobile money operators;Adheres to local financial regulations and international best practices;;https://www.unicefventurefund.org/story/kotani-pay-increasing-access-financial-instruments-using-blockchain-and-cryptocurrency#:~:text=KotaniPay%20is%20a%20middleware%20technology%20service%20that%20enables,a%20majority%20of%20the%20population%20in%20developing%20countries. https://docs.kotanipay.com/;https://kotanipay.com/;2024;Ongoing;Ongoing;;
Utopixar – The Conscience Project;Utopixar, a Tunisian startup funded by UNICEF’s Venture Fund, created a blockchain-powered tool to encourage youth participation in social innovation by tracking proposals and community contributions transparently.;"UNICEF

Startup Investment";Social Impact, Civic Engagement;;internal token to facilitate voting and decision-making;Public participation platform designed for youth groups and civic communities;;;SDG 16, 11;SDG 16.7, 11.3;Youth groups in developing countries, civic communities;Number of active users, number of community proposals submitted and acted upon;;Youth engagement increases when they can see a clear impact from their contributions;;Number of civic proposals submitted, funded, and implemented;"Initially Tunisia; with pilot extensions in other regions through UNICEF country offices";"Funded in 2018–2019; now considered a graduated project";;"$107,917 (initial seed investment from UNICEF);";UNICEF Venture Fund;public-private partnership;Open-source governance model guided by UNICEF Venture Fund policies;Compliance with UNICEF’s digital and child protection policies;;https://www.unicefventurefund.org/story/utopixar-using-blockchain-technology-inspire-young-people-become-local-changemakers;2018;2019;;;
Treejer;Treejer is an open-source blockchain-based reforestation platform that connects funders with rural planters to support climate action in low-income communities. It uses smart contracts to ensure transparency and accountability in tree planting efforts. ;"UNICEF

Startup Investment";Climate action;;Oxygen (O2);Open-source platform with mobile and web interfaces;;Yes;SDG 13, 15;SDG 13.2, 15.2;Rural communities in Latin America, Africa, and the Middle East;Number of trees funded, climate credits issued, community engagement levels;Ensuring tree survival rates, scaling the platform;The importance of community involvement in reforestation efforts;;Carbon offset achieved, number of active users;;Launched in 2024, ongoing development;;;;public-private partnership;;;;https://treejer.com/;2024;Ongoing;Active;;
OS City;OS City is a platform that enables the issuance of tamper-proof digital certificates using blockchain technology. It aims to increase transparency, preserve data integrity, and accelerate the use of portable records in the public sector and informal economy. The platform allows users to create certificate templates and issue digital certificates without the need for technical knowledge on blockchain.;"UNICEF

Startup Investment";Governace;;;Open to public institutions, universities, and artisans in Latin America;;;SDG 9, 16;SDG 9.5, 16.6;Public institutions, universities, artisans, and informal economy workers in Latin America;Issued over 10,000 certificates, reaching a population of 650,000 across Argentina, Mexico, Chile, and Costa Rica;Bureaucratic hurdles, varying levels of digital literacy, resistance to adopting new technologies;;;Number of certificates issued, user engagement levels, institutional adoption rates;Argentina, Mexico, Chile, Costa Rica;Graduated from UNICEF's Venture Fund;;;;;;;;;;;;;
Amply ;Amply is a blockchain-based digital identity protocol designed to replace paper-based attendance records in South African Early Childhood Development (ECD) centers. By providing each child with a self-sovereign digital identity, the system enables accurate tracking of attendance, which can be tokenized and used to claim government subsidies, enhancing transparency and efficiency in funding processes.;"UNICEF 

Startup Investment";Digital Identity, Governance, Financial Inclusion and Digital Payments;;Impact Tokens representing verified attendance claims;Permissioned blockchain;;;SDG 4, SDG 16;4.2.1, 16.6.2;Children under 6 years attending ECD centers in South Africa, particularly those from low-income families;"Over 61,000 digital attendance records created across 85 ECD centers; reduction in administrative burden; improved accuracy and timeliness of subsidy claims";"Resistance to digital adoption among some ECD centers; need for government acceptance of digital records; ensuring data privacy and security";"Importance of stakeholder engagement and training; necessity for government policy alignment; scalability depends on infrastructure readiness";"High; potential to expand to other regions and integrate with additional social services like healthcare and nutrition programs";Initial indicators show improved efficiency in subsidy disbursement and data accuracy;South Africa, primarily Western Cape with some centers in Johannesburg and Durban;"Pilot phase initiated in November 2016; ongoing with plans for expansion";;"Initial funding of up to $100,000 from UNICEF Innovation Fund; additional support from Innovation Edge";UNICEF Innovation Fund, Innovation Edge, Omidyar Network, UBS Optimus Foundation;Public-private partnerships involving UN agencies, local startups, NGOs, and government departments;Guided by UNICEF's innovation policies and South African government regulations;"Compliance with South African data protection laws; emphasis on data privacy and user consent";https://blockchan.ge/blockchange-early-childhood-development.pdf;;Nov.16;;Ongoing;;
